source_locus_tag	target_locus_tag	pcor	target_organism	target_gene	source_organism	source_gene	cross_species	source_organism_name	target_organism_name	source_gene_product	target_gene_product
Ga0081614_142199	Ga0081652_104544	0.00285885984772	Ga0081652	104544	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	LSU ribosomal protein L10P
Ga0081614_142199	Ga0081635_104142	0.00278314158848	Ga0081635	104142	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	oxygen-independent coproporphyrinogen-3 oxidase
Ga0081614_142199	Ga0081632_109011	0.00273980021182	Ga0081632	109011	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-49 (UID2817)	methane/ammonia monooxygenase subunit C	peroxiredoxin (alkyl hydroperoxide reductase subunit C)
Ga0081614_142199	Ga0081620_10621	-0.0026860312497	Ga0081620	10621	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteria-21 (UID203)	methane/ammonia monooxygenase subunit C	HAMP domain-containing protein
Ga0081614_142199	Ga0081607_12316	-0.0026851571885	Ga0081607	12316	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	cytochrome c oxidase assembly protein subunit 15
Ga0081614_142199	Ga0081607_10065	0.0026796932779	Ga0081607	10065	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081607_108666	-0.00265409010828	Ga0081607	108666	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	Protein of unknown function (DUF938)
Ga0081614_142199	Ga0081614_18722	-0.00264327380422	Ga0081614	18722	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	transposase
Ga0081614_142199	Ga0081627_10752	0.00264284309683	Ga0081627	10752	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-49 (UID3888)	methane/ammonia monooxygenase subunit C	SSU ribosomal protein S10P
Ga0081614_142199	Ga0081648_100122	0.00262948326799	Ga0081648	100122	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-76 (UID4002)	methane/ammonia monooxygenase subunit C	LSU ribosomal protein L15P
Ga0081614_142199	Ga0081614_16635	0.00262514877842	Ga0081614	16635	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	FKBP-type peptidyl-prolyl cis-trans isomerase FklB
Ga0081614_142199	Ga0081652_102515	0.00261201141806	Ga0081652	102515	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	nucleoside diphosphate kinase
Ga0081614_142199	Ga0081614_16613	0.00258511643585	Ga0081614	16613	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	carbon storage regulator, CsrA
Ga0081614_142199	Ga0081652_101920	0.00258094697018	Ga0081652	101920	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	Ppx/GppA phosphatase family protein
Ga0081614_142199	Ga0081635_13925	0.00257008943744	Ga0081635	13925	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	nitric oxide reductase, NorB subunit apoprotein
Ga0081614_142199	Ga0081614_13738	-0.00256609824648	Ga0081614	13738	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081609_106279	0.002565171023	Ga0081609	106279	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	respiratory nitrate reductase beta subunit
Ga0081614_142199	Ga0081649_101711	-0.00255939294493	Ga0081649	101711	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-76-2 (UID203)	methane/ammonia monooxygenase subunit C	TSCPD domain-containing protein
Ga0081614_142199	Ga0081640_12801	-0.00255384028861	Ga0081640	12801	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-63 (UID3888)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081645_126611	-0.00254299977781	Ga0081645	126611	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-75 (UID4105)	methane/ammonia monooxygenase subunit C	type IV pilus assembly protein PilY1
Ga0081614_142199	Ga0081645_100447	0.00253726626855	Ga0081645	100447	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-75 (UID4105)	methane/ammonia monooxygenase subunit C	TCP-1/cpn60 chaperonin family protein
Ga0081614_142199	Ga0081620_10772	0.00253541607292	Ga0081620	10772	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteria-21 (UID203)	methane/ammonia monooxygenase subunit C	LSU ribosomal protein L20P
Ga0081614_142199	Ga0081636_1209	-0.00252722462528	Ga0081636	1209	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylococcaceae-55 (UID203)	methane/ammonia monooxygenase subunit C	methane/ammonia monooxygenase subunit B
Ga0081614_142199	Ga0081653_103334	0.00252499864188	Ga0081653	103334	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-2 (UID2817)	methane/ammonia monooxygenase subunit C	LSU ribosomal protein L33P
Ga0081614_142199	Ga0081609_102172	0.00249749014916	Ga0081609	102172	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081649_11116	-0.00248490601798	Ga0081649	11116	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-76-2 (UID203)	methane/ammonia monooxygenase subunit C	site-specific recombinase XerD
Ga0081614_142199	Ga0081646_10905	-0.00247127153261	Ga0081646	10905	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-76 (UID2591)	methane/ammonia monooxygenase subunit C	PhnB protein
Ga0081614_142199	Ga0081652_114338	0.00246678738913	Ga0081652	114338	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081635_11750	0.00246064568907	Ga0081635	11750	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	carbohydrate ABC transporter substrate-binding protein, CUT1 family
Ga0081614_142199	Ga0081654_13198	0.00246003061348	Ga0081654	13198	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-8 (UID2591)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081652_119153	0.00245016824877	Ga0081652	119153	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	SSU ribosomal protein S17P
Ga0081614_142199	Ga0081652_101449	0.00244795195819	Ga0081652	101449	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	thiol peroxidase (atypical 2-Cys peroxiredoxin)
Ga0081614_142199	Ga0081653_117318	0.00244503769153	Ga0081653	117318	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-2 (UID2817)	methane/ammonia monooxygenase subunit C	acyl carrier protein
Ga0081614_142199	Ga0081645_11973	0.00243776382355	Ga0081645	11973	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-75 (UID4105)	methane/ammonia monooxygenase subunit C	MFS transporter, NNP family, nitrate/nitrite transporter
Ga0081614_142199	Ga0081635_12961	0.00241959605733	Ga0081635	12961	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081635_104135	0.00241601738661	Ga0081635	104135	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	cytochrome c oxidase cbb3-type subunit 2
Ga0081614_142199	Ga0081607_12229	-0.0024053842015	Ga0081607	12229	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	Hpt domain-containing protein
Ga0081614_142199	Ga0081632_119522	-0.00240104938899	Ga0081632	119522	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-49 (UID2817)	methane/ammonia monooxygenase subunit C	phosphoenolpyruvate carboxykinase (ATP)
Ga0081614_142199	Ga0081614_16917	0.00239743454934	Ga0081614	16917	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	ApaG protein
Ga0081614_142199	Ga0081648_104423	0.00239602295878	Ga0081648	104423	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-76 (UID4002)	methane/ammonia monooxygenase subunit C	LSU ribosomal protein L21P
Ga0081614_142199	Ga0081607_11521	-0.00239527816528	Ga0081607	11521	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081607_119313	-0.00238614161616	Ga0081607	119313	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	group II intron maturase family protein
Ga0081614_142199	Ga0081607_122218	-0.00237979165556	Ga0081607	122218	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	two-component system, chemotaxis family, response regulator CheB
Ga0081614_142199	Ga0081652_119138	0.00237254790074	Ga0081652	119138	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	SSU ribosomal protein S11P
Ga0081614_142199	Ga0081607_12226	-0.00235693734655	Ga0081607	12226	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	methyl-accepting chemotaxis protein
Ga0081614_142199	Ga0081607_110233	-0.00235159483788	Ga0081607	110233	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	response regulator receiver modulated CheB methylesterase
Ga0081614_142199	Ga0081608_118319	0.00234721388792	Ga0081608	118319	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-123 (UID3888)	methane/ammonia monooxygenase subunit C	pilus assembly protein CpaB
Ga0081614_142199	Ga0081614_1096	0.00232619064877	Ga0081614	1096	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	SSU ribosomal protein S18P
Ga0081614_142199	Ga0081632_11916	0.00232299426335	Ga0081632	11916	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-49 (UID2817)	methane/ammonia monooxygenase subunit C	3-oxoacyl-(acyl-carrier-protein) reductase
Ga0081614_142199	Ga0081654_11532	-0.00231600131924	Ga0081654	11532	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-8 (UID2591)	methane/ammonia monooxygenase subunit C	cold-shock DNA-binding protein family
Ga0081614_142199	Ga0081654_12584	0.00230751238526	Ga0081654	12584	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-8 (UID2591)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081649_12952	-0.00230559716375	Ga0081649	12952	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-76-2 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081609_10436	0.00230366489169	Ga0081609	10436	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	histone H1-like protein
Ga0081614_142199	Ga0081653_12373	0.00227993405513	Ga0081653	12373	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-2 (UID2817)	methane/ammonia monooxygenase subunit C	Por secretion system C-terminal sorting domain-containing protein
Ga0081614_142199	Ga0081607_10063	0.0022758866552	Ga0081607	10063	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081609_10461	0.00226430069363	Ga0081609	10461	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	chaperonin GroES
Ga0081614_142199	Ga0081607_10701	-0.00225697024725	Ga0081607	10701	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081629_12073	-0.00225648337772	Ga0081629	12073	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-49 (UID203)	methane/ammonia monooxygenase subunit C	cold-shock DNA-binding protein family
Ga0081614_142199	Ga0081645_112515	0.00225186828538	Ga0081645	112515	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-75 (UID4105)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081614_18252	0.00225003795324	Ga0081614	18252	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	phenylalanyl-tRNA synthetase, alpha subunit
Ga0081614_142199	Ga0081610_118511	0.00221857512844	Ga0081610	118511	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Rhodocyclaceae-127 (UID3972)	methane/ammonia monooxygenase subunit C	dissimilatory nitrite reductase (NO-forming), cytochrome cd1 type apoprotein
Ga0081614_142199	Ga0081607_11006	-0.00221581532916	Ga0081607	11006	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	FecR family protein
Ga0081614_142199	Ga0081609_102111	0.00221468374274	Ga0081609	102111	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081652_109628	0.00221053847335	Ga0081652	109628	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081643_105412	0.00220743535729	Ga0081643	105412	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylosarcina lacus-69 (UID4274)	methane/ammonia monooxygenase subunit C	putative Ig domain-containing protein
Ga0081614_142199	Ga0081614_12612	0.00220374235734	Ga0081614	12612	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	TonB dependent receptor
Ga0081614_142199	Ga0081628_1642	0.00220290848271	Ga0081628	1642	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-49 (UID2591)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081621_13311	0.00220072433097	Ga0081621	13311	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-21 (UID4105)	methane/ammonia monooxygenase subunit C	phosphoribosyl-ATP pyrophosphohydrolase
Ga0081614_142199	Ga0081626_10951	-0.00219453933143	Ga0081626	10951	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylophilaceae-49 (UID203)	methane/ammonia monooxygenase subunit C	putative sigma-54 modulation protein
Ga0081614_142199	Ga0081609_106277	0.00218843758654	Ga0081609	106277	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	MFS transporter, NNP family, nitrate/nitrite transporter
Ga0081614_142199	Ga0081635_1392	0.00217889266742	Ga0081635	1392	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	cytochrome c
Ga0081614_142199	Ga0081652_119137	0.00217696669397	Ga0081652	119137	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	SSU ribosomal protein S4P
Ga0081614_142199	Ga0081607_110243	-0.00217153613995	Ga0081607	110243	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylobacter-123 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081646_11036	-0.00215593939389	Ga0081646	11036	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-76 (UID2591)	methane/ammonia monooxygenase subunit C	DNA-directed RNA polymerase subunit alpha
Ga0081614_142199	Ga0081609_104148	0.00215566629033	Ga0081609	104148	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-123 (UID4000)	methane/ammonia monooxygenase subunit C	putative (di)nucleoside polyphosphate hydrolase
Ga0081614_142199	Ga0081635_12934	0.00215459373799	Ga0081635	12934	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	cytochrome c
Ga0081614_142199	Ga0081623_12489	0.00215381979529	Ga0081623	12489	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylococcaceae-21 (UID203)	methane/ammonia monooxygenase subunit C	cell division protein FtsA
Ga0081614_142199	Ga0081618_1861	0.00213552900928	Ga0081618	1861	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylophilus methylotrophus-129-2 (UID203)	methane/ammonia monooxygenase subunit C	T1SS-143 domain-containing protein/type I secretion C-terminal target domain (VC_A0849 subclass)
Ga0081614_142199	Ga0081645_10879	-0.00213034997353	Ga0081645	10879	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-75 (UID4105)	methane/ammonia monooxygenase subunit C	flagellar transcriptional activator FlhD
Ga0081614_142199	Ga0081652_114321	0.00211304367679	Ga0081652	114321	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-79-1 (UID2817)	methane/ammonia monooxygenase subunit C	ATP synthase F0 subcomplex C subunit
Ga0081614_142199	Ga0081614_17836	0.00211134757202	Ga0081614	17836	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081614_13120	-0.00210964861598	Ga0081614	13120	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	cysteine desulfurase
Ga0081614_142199	Ga0081649_10272	-0.00210083518787	Ga0081649	10272	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-76-2 (UID203)	methane/ammonia monooxygenase subunit C	predicted dehydrogenase
Ga0081614_142199	Ga0081643_10787	-0.00210001072939	Ga0081643	10787	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylosarcina lacus-69 (UID4274)	methane/ammonia monooxygenase subunit C	Small metal-binding protein
Ga0081614_142199	Ga0081628_14443	0.00209824929161	Ga0081628	14443	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Bacteroidetes-49 (UID2591)	methane/ammonia monooxygenase subunit C	Protein of unknown function (DUF3347)
Ga0081614_142199	Ga0081614_183227	0.00209746605518	Ga0081614	183227	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	ribose-phosphate pyrophosphokinase
Ga0081614_142199	Ga0081629_10266	-0.00209723986162	Ga0081629	10266	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-49 (UID203)	methane/ammonia monooxygenase subunit C	type IV pilus assembly protein PilA
Ga0081614_142199	Ga0081632_105910	0.00209037101611	Ga0081632	105910	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Flavobacteriaceae-49 (UID2817)	methane/ammonia monooxygenase subunit C	HRDC domain-containing protein
Ga0081614_142199	Ga0081649_11504	-0.00208890069241	Ga0081649	11504	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylotenera mobilis-76-2 (UID203)	methane/ammonia monooxygenase subunit C	DNA-binding domain-containing protein, AraC-type
